Was ist nach dem Verlassen des Gefahrenbereiches durch den Atemschutztrupp einzuleiten?;Eine Kurzprüfung der verwendeten Atemschutzgerätes ist durchzuführen.;Eine Rückmeldung an den Einheitsführer ist abzugeben.;Eine Maskendichtprobe ist durchzuführen.;B;Atemschutz;0;0;
Welchen Behälterdruck muss ein einsatzbereiter Pressluftatmer aufweisen?;Ein 300 bar-Gerät muss einen Behälterdruck von 270 bar aufweisen.;Ein 300 bar-Gerät muss einen Behälterdruck von 250 bar aufweisen.;Ein 200 bar-Gerät muss einen Behälterdruck von 170 bar aufweisen.;A;Atemschutz;0;0;
Wie sind ausgebildete Atemschutzgeräteträger nach der FwDV 7 "Atemschutz" unter anderem fortzubilden?;Es ist monatlich eine Einsatzübung durchzuführen. ;Wiederholungsprüfungen sind nicht erforderlich.;Es muss vor Ablauf von 12 Monaten mindestens eine Wiederholungsübung in einer Atemschutzübungsanlage durchgeführt werden.;C;Atemschutz;0;0;
Wie lange reicht der Atemluftvorrat eines Pressluftatmers bei mittlerer Belastung des Atemschutzgeräteträgers aus?;höchstens 10 Minuten;ca. 30 bis 40 Minuten;ca. 60 bis 70 Minuten;B;Atemschutz;0;0;
Welche Prüfung muss der Atemschutzgeräteträger vor dem Einsatz am Pressluftatmer vornehmen?;die 6-Jahres-Prüfung;die Überprüfung des Druckminderers;die Überprüfung der Einsatzbereitschaft vor dem Einsatz (Kurz- und Funktionsprüfung);C;Atemschutz;0;0;
Wie kann der Träger eines Atemschutzgerätes eine Atemkrise vermeiden?;indem er die Atemschutzmaske vom Gesicht reißt;durch möglichst schnelles Atmen mit häufigen kurzen Pausen;durch ruhiges und tiefes Durchatmen;C;Atemschutz;0;0;
Sie wollen mit der Luft Ihres Pressluftatmers sparsam umgehen. Wie können Sie das erreichen?;den Lungenautomat bei längerem Anmarschweg erst vor dem Gefahrenbereich anschrauben lassen;das Atemschutzgerät erst beim Erkennen der Atemgifte anlegen;die Ventile der Atemluftflaschen erst im Gefahrenbereich öffnen;A;Atemschutz;0;0;
Welchen Zweck erfüllt der Lungenautomat an einem Behältergerät?;Er steuert die Funktion der Lunge des Geräteträgers.;Er steuert die Abgabe der Atemluftmenge an den Geräteträger.;Er reduziert den Flaschendruck auf Mitteldruck.;B;Atemschutz;0;0;
Welches Atemgift entsteht hauptsächlich beim Verbrennen von Polyvinylchlorid (PVC)?;Blausäuredämpfe;Salzsäuredämpfe;Fluorwasserstoff;B;Atemschutz;0;0;
Welche Hilfsmittel können im Innenangriff zum öffnen einer Tür in Angriffsrichtung vom Truppführer verwendet werden?;Hohlstrahlrohr;Feuerwehraxt, Seilschlauchhalter;Türen werden grundsätzlich ohne Hilfsmitte geöffnet, um ein schnelleres Vorgehen zu ermöglichen;B;Atemschutz;0;0;
Welche Aussagen über die Brandfluchthaube ist richtig?;Die Brandfluchthaube schützt eine Person vor allen Atemgiften.;Die Brandfluchthaube schützt eine zu rettende Person vor Sauerstoffmangel.;Die Rettung über tragbare Leitern ist im Regelfall einer Rettung durch verrauchte Bereiche mittels Brandfluchthaube vorzuziehen.;C;Atemschutz;0;0;
In welche Gruppe der Atemgifte ist Kohlenstoffdioxid einzuordnen?;Atemgifte mit erstickender Wirkung;Atemgifte mit Reiz- und Ätzwirkung;Atemgifte mit Wirkung auf Blut, Nerven und Zellen;C;Atemschutz;0;0;
Welche Aufgaben hat der Sicherheitstrupp beim Einsatz von Atemschutzgeräten?;bei Notfällen dem eingesetzten Trupp zu Hilfe zu kommen;die Brandbekämpfung durzuführen;Gebäude nach vermissten Personen abzusuchen;A;Atemschutz;0;0;
In welchem Aggregatzustand können Atemgifte vorkommen?;fest, flüssig und/oder gasförmig;nur flüssig;nur gasförmig;A;Atemschutz;0;0;
Warum sind Atemschutzmasken mit einer Innenmaske ausgestattet?;zum besseren Schutz der Nase;zur Verkleinerung des Totraumes;zur Verbesserung der Verständigung;B;Atemschutz;0;0;
Durch welche Maßnahmen kann die von der UVV Feuerwehren geforderte ständige Verbindung zwischen Atemschutzgeräteträger und Feuerwehrangehörigen, die sich im ungefährdeten Bereich aufhalten, sichergestellt werden?;durch Kontakt mittels Feuerwehrleine;Es ist keine Verbindung erforderlich;durch Kontakt über eine Sprechfunkverbindung;C;Atemschutz;0;0;
Unter welchen Voraussetzungen darf ein ausgebildeter Atemschutzgeräteträger unter einem Chemikalienschutzanzug (CSA) eingesetzt werden?;bereits nach erfolgreichem Abschluss des Atemschutzgeräteträgerlehrgangs;wenn er nach der arbeitsmedizinischen Vorsorgeuntersuchung G 26.3 tauglich ist und eine Zusatzausbildung für CSA-Träger entsprechend FwDV 7 "Atemschutz" absolviert hat;nach Anweisung durch den Einsatzleiter;B;Atemschutz;0;0;
Wie wirkt Chlor als Atemgift auf den menschlichen Körper?;Es wirkt direkt schädigend auf das zentrale Nervensystem.;Es wirkt schädigend auf das Blut.;Es wirkt schädigend auf die Atemorgane und zerstört die Lungenbläschen.;C;Atemschutz;0;0;
Der Atemschutztrupp (zwei Feuerwehrangehörige) geht zu einem Brandeinsatz vor. Beim Vorgehen im verrauchten Bereich hängt die mitgeführte Schlauchleitung fest. Wie ist die richtige Vorgehensweise?;Der Truppmann geht zurück und führt die Schlauchleitung nach.;Der Truppführer geht zurück und führt die Schlauchleitung nach.;Der Trupp geht zurück und führt die Schlauchleitung nach.;C;Atemschutz;0;0;
Warum ist es wichtig, nach Rücksprache mit dem Einheitsführer, Lüftungsmaßnahmen in verrauchten Bereichen durchzuführen?;Um den Melder das Betreten der Räume zu ermöglichen;Um Sichtverhältnisse zu verbessern und somit ein schnelleres Auffinden des Brandherdes oder von Personen zu ermöglichen.;Um die heterogene Löschwirkung des Wassers zu verbessern;B;Atemschutz;0;0;
Worauf muss der Atemschutztrupp im Rahmen der Erstorientierung achten?;auf die Gebäudemaße (Länge, Breite, Höhe);auf die Fahrzeugaufstellung;Nur auf die Anzahl der benötigten Schlauchreserve;A;Atemschutz;0;0;
Im Atemschutzeinsatz müssen die Kommunikationswege eingehalten werden. Welche Aussage trifft zu?;Der Angriffstrupp übermittelt seine Lagemeldungen an den Maschinisten;Der Angriffstrupp übermittelt seine Lagemeldungen an den Einheitsführer;Der Angriffstrupp übermittelt seine Lagemeldungen nur nach Aufforderung;B;Atemschutz;0;0;
Der Angriffstrupp erkennt an einem verunfallten LKW folgenden roten Großzettel mit schwarzem Flammensymbol: Welche Eigenschaften hat der transportierte Stoff?;brennbar, gasförmig;brennbar, fest;brennbar, flüssig;C;Gefahrstoffe;0;0;2131165185;
